municip_code,year,IMD
48083,2019,125757.0
48071,2019,124671.0
48058,2019,14798.0
48084,2019,46249.0
48078,2019,36902.0
48060,2019,55386.0
48082,2019,81934.0
48061,2019,1047.0
48059,2019,3821.0
48086,2019,10199.0
48062,2019,2050.0
48087,2019,1383.0
48063,2019,1588.0
48904,2019,107386.0
48064,2019,10907.0
48066,2019,1662.0
48085,2019,42826.0
48068,2019,15250.0
48089,2019,12813.0
48069,2019,133758.0
48007,2019,2156.0
48908,2019,8119.0
48067,2019,39813.0
48073,2019,27959.0
48075,2019,10638.0
48072,2019,14691.0
48077,2019,11162.0
48065,2019,13266.0
48080,2018,258345.0
48080,2017,263810.0
48095,2019,18353.0
48095,2018,20604.0
48095,2017,16891.0
48096,2019,51566.0
48096,2018,51313.0
48096,2017,50216.0
48905,2019,86979.0
48905,2018,86827.0
48905,2017,84699.0
48097,2019,41412.0
48097,2018,40759.0
48097,2017,11241.0
48024,2019,12866.0
48024,2018,13853.0
48024,2017,17855.0
48025,2019,2113.0
48025,2018,2099.0
48025,2017,2089.0
48913,2019,84813.0
48913,2018,84024.0
48913,2017,82723.0
48915,2019,1785.0
48915,2018,1743.0
48915,2017,347.0
48093,2019,23516.0
48093,2018,17414.0
48093,2017,17414.0
48092,2019,13410.0
48092,2018,13410.0
48092,2017,13410.0
48018,2019,8443.0
48018,2018,8443.0
48018,2017,8443.0
48027,2019,89651.0
48027,2018,89651.0
48027,2017,89651.0
48047,2019,4461.0
48047,2018,16330.0
48047,2017,12272.0
48909,2019,4581.0
48909,2018,4581.0
48909,2017,4581.0
48076,2019,4690.0
48076,2018,3465.0
48076,2017,3465.0
48088,2019,4208.0
48088,2018,4208.0
48088,2017,4208.0
48074,2019,49588.0
48074,2018,49588.0
48074,2017,58944.0
